0.45,0.48,0.65
0.68,0.68,0.10
0.84,0.22,0.37
0.88,0.71,0.89
0.89,0.13,0.59
0.66,0.40,0.88
0.47,0.89,0.82
0.38,0.26,0.78
0.73,0.10,0.21
0.81,0.70,0.80
0.48,0.65,0.83
1.00,0.89,0.50
0.30,0.20,0.20
0.15,0.40,0.33
0.66,0.10,0.58
0.33,0.32,0.75
0.24,0.36,0.76
0.56,0.29,0.35
0.01,0.01,0.37
0.54,0.06,0.39
0.18,0.80,0.05
0.43,0.59,0.32
0.02,0.66,0.42
0.58,0.36,0.12
0.47,0.83,0.92
0.01,0.15,1.00
0.54,0.13,0.43
0.85,0.76,0.69
0.07,0.69,0.48
0.04,0.77,0.53
0.79,0.16,0.21
1.00,0.59,0.24
0.80,0.14,0.86
0.49,0.50,0.70
0.42,0.36,0.65
0.96,0.70,0.95
0.01,0.51,0.37
0.35,0.49,0.94
0.04,0.99,0.43
0.78,0.22,0.74
0.01,0.11,0.44
0.59,0.24,0.60
0.03,0.99,0.63
0.36,0.95,0.68
0.83,0.47,1.00
0.21,0.82,0.51
0.28,0.15,0.42
0.59,0.66,0.37
0.11,0.87,0.44
0.12,0.03,0.52
0.81,0.33,0.55
0.01,0.39,0.20
0.47,0.43,0.57
0.61,0.78,0.31
0.25,0.03,0.04
0.95,0.99,0.14
0.41,0.73,0.20
0.96,0.73,0.27
0.67,0.53,0.68
0.62,0.15,0.97
0.05,0.68,0.12
0.87,0.78,0.76
0.57,0.17,0.25
0.30,0.22,0.26
0.81,0.61,0.62
0.84,0.34,0.33
0.71,0.86,0.32
0.14,0.72,0.57
0.25,0.80,0.42
0.19,0.41,0.55
0.80,0.12,0.39
0.94,0.02,0.96
0.45,0.89,0.25
0.68,0.83,0.04
0.77,0.36,0.87
0.62,0.70,0.88
0.44,0.33,0.12
0.85,0.11,0.55
0.38,0.29,0.03
0.28,0.84,0.90
0.24,0.54,0.52
0.47,0.21,0.54
0.30,0.68,0.36
0.40,0.10,0.74
0.42,0.24,0.04
0.47,0.91,0.51
0.04,0.32,0.10
0.11,0.28,0.46
0.72,0.40,0.62
0.86,0.98,0.45
0.35,0.35,0.89
0.34,0.06,0.37
0.01,0.76,0.35
0.70,0.54,0.81
0.63,0.09,0.62
0.02,0.82,0.36
0.92,0.41,0.37
0.49,0.26,0.68
0.36,0.31,0.30
0.34,0.19,0.18
