0.00,0.00,-1.73
0.00,1.00,-1.73
0.01,1.00,-1.71
0.01,1.00,-1.71
0.03,1.00,-1.70
0.03,1.00,-1.70
0.03,1.00,-1.70
0.04,1.00,-1.68
0.04,1.00,-1.68
0.06,1.00,-1.66
0.06,1.00,-1.66
0.06,1.00,-1.66
0.07,1.00,-1.65
0.07,1.00,-1.65
0.09,1.00,-1.63
0.09,1.00,-1.63
0.09,1.00,-1.63
0.10,1.00,-1.61
0.10,1.00,-1.61
0.11,1.00,-1.59
0.11,1.00,-1.59
0.11,1.00,-1.59
0.13,1.00,-1.58
0.13,1.00,-1.58
0.14,1.00,-1.56
0.14,1.00,-1.56
0.14,1.00,-1.56
0.16,1.00,-1.54
0.16,1.00,-1.54
0.17,1.00,-1.52
0.17,1.00,-1.52
0.17,1.00,-1.52
0.18,1.00,-1.51
0.18,1.00,-1.51
0.20,1.00,-1.49
0.20,1.00,-1.49
0.20,1.00,-1.49
0.21,1.00,-1.47
0.21,1.00,-1.47
0.23,1.00,-1.45
0.23,1.00,-1.45
0.23,1.00,-1.45
0.24,1.00,-1.44
0.24,1.00,-1.44
0.26,1.00,-1.42
0.26,1.00,-1.42
0.26,1.00,-1.42
0.27,1.00,-1.40
0.27,1.00,-1.40
0.27,1.00,-1.39
0.28,1.00,-1.39
0.28,1.00,-1.39
0.30,1.00,-1.37
0.30,1.00,-1.37
0.30,1.00,-1.35
0.31,1.00,-1.35
0.31,1.00,-1.35
0.33,1.00,-1.33
0.33,1.00,-1.33
0.33,1.00,-1.32
0.34,1.00,-1.32
0.34,1.00,-1.32
0.35,1.00,-1.30
0.35,1.00,-1.30
0.35,1.00,-1.28
0.37,1.00,-1.28
0.37,1.00,-1.28
0.37,1.00,-1.26
0.38,1.00,-1.26
0.38,1.00,-1.25
0.40,1.00,-1.25
0.40,1.00,-1.25
0.40,1.00,-1.23
0.41,1.00,-1.23
0.41,1.00,-1.21
0.43,1.00,-1.21
0.43,1.00,-1.21
0.43,1.00,-1.20
0.44,1.00,-1.20
0.44,1.00,-1.18
0.44,1.00,-1.18
0.45,1.00,-1.18
0.45,1.00,-1.16
0.47,1.00,-1.16
0.47,1.00,-1.14
0.47,1.00,-1.14
0.48,1.00,-1.14
0.48,1.00,-1.13
0.48,1.00,-1.13
0.50,1.00,-1.11
0.50,1.00,-1.11
0.51,1.00,-1.11
0.51,1.00,-1.09
0.51,1.00,-1.09
0.52,1.00,-1.07
0.52,1.00,-1.07
0.52,1.00,-1.07
0.54,1.00,-1.06
0.54,1.00,-1.06
0.55,1.00,-1.04
0.55,1.00,-1.04
0.55,1.00,-1.04
0.57,1.00,-1.02
0.57,1.00,-1.02
0.57,1.00,-1.00
0.58,1.00,-1.00
0.58,1.00,-1.00
0.60,1.00,-0.99
0.60,1.00,-0.99
0.60,1.00,-0.97
